cpic_genesymbol	cpic_chr	cpic_description	cpic_proteinsequenceid	cpic_chromosequenceid	cpic_mrsequenceid	cpic_hgncid	cpic_ncbiid	cpic_ensemblid	PharmGKBID	cpic_frequencymethods	cpic_lookupmethod	GenotypeAllele	Gene	cpic_url	cpic_functionmethods	cpic_notesolleleming	cpic_id	cpic_result	cpic_activityscore	cpic_ehrpriority	cpic_consultationtext	cpic_version.y	cpic_frequency	cpic_drugid.x	cpic_me	cpic_rxnormid	cpic_drugbankid	cpic_atcid	chemicals	cpic_flowchart	cpic_version.x.x	cpic_guidelineid.x	cpic_phenotypeid	cpic_lookupkey	cpic_function1	cpic_function2	cpic_activityvalue1	cpic_activityvalue2	cpic_totalactivityscore	cpic_description	cpic_pairid	cpic_drugid.y	cpic_guidelineid.y	cpic_usedforrecommendation	cpic_version.y.y	cpic_level	cpic_pgkbcalevel	cpic_pgxtesting	cpic_citations	cpic_removed	cpic_removeddate	cpic_removedreason	ClinicalAnnotationID	GenotypeAllele	AnnotationText	AlleleFunction	EvidenceType	EvidenceURL	PMID	Summary	Score.x	Date	Type	Comment	variant	Gene	LevelofEvidence	LevelOverride	LevelModifiers	Score.y	PhenotypeCategory	PMIDCount	EvidenceCount	Drug	Phenotype	LatestHistoryDate.x	URL	SpecialtyPopulation	gene	type	levelofevidence	chemicals	phenotypes	me	Source	BiomarkerFlag	TestingLevel	HasPrescribingInfo	HasDosingInfo	HasAlterteDrug	CancerGenome	Prescribing	Chemicals	Genes	VariantsHaplotypes	LatestHistoryDate.y	GeneID	GeneSymbol	Labelmes
655384878	GG	"Patients with the GG genotype who are treated with iloperidone may have increased risk for adverse cardiovascular events as compared to patients with the TT or GT genotype. Other genetic and clinical factors may also influence a patients response."""										rs1045642	ABCB1	3		Tier 1 VIP	1.75	Toxicity	1	1	nortriptyline	"Depression;Depressive Disorder;Depressive Disorder, Major;Hypotension"	3/24/21	https://www.pharmgkb.org/clinicalAnnotation/655384846		ABCB1	Dosage	3	phenytoin																																																																						
655384878	GG	"Patients with the GG genotype who are treated with iloperidone may have increased risk for adverse cardiovascular events as compared to patients with the TT or GT genotype. Other genetic and clinical factors may also influence a patients response."""										rs1045642	ABCB1	3		Tier 1 VIP	1.75	Toxicity	1	1	nortriptyline	"Depression;Depressive Disorder;Depressive Disorder, Major;Hypotension"	3/24/21	https://www.pharmgkb.org/clinicalAnnotation/655384846		ABCB1	Efficacy	3	"dexamethasone,doxorubicin,vincristine"	Multiple Myeloma																																																																					
655384878	GG	"Patients with the GG genotype who are treated with iloperidone may have increased risk for adverse cardiovascular events as compared to patients with the TT or GT genotype. Other genetic and clinical factors may also influence a patients response."""										rs1045642	ABCB1	3		Tier 1 VIP	1.75	Toxicity	1	1	nortriptyline	"Depression;Depressive Disorder;Depressive Disorder, Major;Hypotension"	3/24/21	https://www.pharmgkb.org/clinicalAnnotation/655384846		ABCB1	Other	3	dicloxacillin																																																																						
655384878	GG	"Patients with the GG genotype who are treated with iloperidone may have increased risk for adverse cardiovascular events as compared to patients with the TT or GT genotype. Other genetic and clinical factors may also influence a patients response."""										rs1045642	ABCB1	3		Tier 1 VIP	1.75	Toxicity	1	1	nortriptyline	"Depression;Depressive Disorder;Depressive Disorder, Major;Hypotension"	3/24/21	https://www.pharmgkb.org/clinicalAnnotation/655384846		ABCB1	Toxicity	3	capecitabine	Neoplasms																																																																					
655384878	GG	"Patients with the GG genotype who are treated with iloperidone may have increased risk for adverse cardiovascular events as compared to patients with the TT or GT genotype. Other genetic and clinical factors may also influence a patients response."""										rs1045642	ABCB1	3		Tier 1 VIP	1.75	Toxicity	1	1	nortriptyline	"Depression;Depressive Disorder;Depressive Disorder, Major;Hypotension"	3/24/21	https://www.pharmgkb.org/clinicalAnnotation/655384846		ABCB1	Other	3	"prednisone,tacrolimus"	"Organ Transplantation,Transplantation"																																																																					
655384878	GG	"Patients with the GG genotype who are treated with iloperidone may have increased risk for adverse cardiovascular events as compared to patients with the TT or GT genotype. Other genetic and clinical factors may also influence a patients response."""										rs1045642	ABCB1	3		Tier 1 VIP	1.75	Toxicity	1	1	nortriptyline	"Depression;Depressive Disorder;Depressive Disorder, Major;Hypotension"	3/24/21	https://www.pharmgkb.org/clinicalAnnotation/655384846		ABCB1	Dosage	3	fexofedine																																																																						
655384878	GG	"Patients with the GG genotype who are treated with iloperidone may have increased risk for adverse cardiovascular events as compared to patients with the TT or GT genotype. Other genetic and clinical factors may also influence a patients response."""										rs1045642	ABCB1	3		Tier 1 VIP	1.75	Toxicity	1	1	nortriptyline	"Depression;Depressive Disorder;Depressive Disorder, Major;Hypotension"	3/24/21	https://www.pharmgkb.org/clinicalAnnotation/655384846		ABCB1	Toxicity	3	nortriptyline	"Depression,Depressive Disorder,Depressive Disorder, Major,Hypotension"																																																																					
655384878	GG	"Patients with the GG genotype who are treated with iloperidone may have increased risk for adverse cardiovascular events as compared to patients with the TT or GT genotype. Other genetic and clinical factors may also influence a patients response."""										rs1045642	ABCB1	3		Tier 1 VIP	1.75	Toxicity	1	1	nortriptyline	"Depression;Depressive Disorder;Depressive Disorder, Major;Hypotension"	3/24/21	https://www.pharmgkb.org/clinicalAnnotation/655384846		ABCB1	Efficacy	3	oxaliplatin	Colorectal Neoplasms																																																																					
655384878	GG	"Patients with the GG genotype who are treated with iloperidone may have increased risk for adverse cardiovascular events as compared to patients with the TT or GT genotype. Other genetic and clinical factors may also influence a patients response."""										rs1045642	ABCB1	3		Tier 1 VIP	1.75	Toxicity	1	1	nortriptyline	"Depression;Depressive Disorder;Depressive Disorder, Major;Hypotension"	3/24/21	https://www.pharmgkb.org/clinicalAnnotation/655384846		ABCB1	Other	3	verapamil																																																																						
655384878	GG	"Patients with the GG genotype who are treated with iloperidone may have increased risk for adverse cardiovascular events as compared to patients with the TT or GT genotype. Other genetic and clinical factors may also influence a patients response."""										rs1045642	ABCB1	3		Tier 1 VIP	1.75	Toxicity	1	1	nortriptyline	"Depression;Depressive Disorder;Depressive Disorder, Major;Hypotension"	3/24/21	https://www.pharmgkb.org/clinicalAnnotation/655384846		ABCB1	Toxicity	3	simvastatin	"Hypercholesterolemia,Myalgia unspecified"																																																																					
